Participant,MinTransZ_mm,MaxTransZ_mm,RangeTransZ_mm,MeanFD_mm
60,-9.3720208,43.792092,53.1641128,0.582528689000006
25,-16.590603,15.821873,32.412476,0.395006187461655
38,-16.07157,13.805849,29.877419,0.778981178500365
59,-2.4341768,20.303014,22.7371908,0.427424188044857
30,-10.068401,12.327809,22.39621,0.874271012965227
26,-4.0477674,17.026969,21.0747364,0.171799009307878
4,-6.5963112,8.147746,14.7440572,0.195897308977301
24,-0.53826435,14.012211,14.55047535,0.644798232504012
29,-9.9896988,4.1139748,14.1036736,0.283526329025077
50,-6.328975,6.1406724,12.4696474,0.472965061121087
11,-2.2420819,10.134749,12.3768309,0.309449859515441
3,-7.0999185,5.0181418,12.1180603,0.870413801077895
40,-0.44477739,11.26302,11.70779739,0.172931887775709
2,-11.090484,0.36527798,11.45576198,0.258027045246458
37,-0.23894583,10.720661,10.95960683,0.272177852503251
1,-8.6005581,1.7224704,10.3230285,0.282093375939756
36,-4.4891417,5.6679228,10.1570645,0.30337430444556
16,-6.557728,3.2686076,9.8263356,0.262966995622836
56,-5.6081259,4.0663131,9.674439,0.165606676622083
101,-0.86959318,7.9113062,8.78089938,0.299707160849338
19,-1.3147584,6.2991203,7.6138787,0.19652923113429
12,-4.2310838,2.9466381,7.1777219,0.261672424999115
39,-4.4274921,2.3763357,6.8038278,0.334132632917592
17,-0.46144377,6.1647534,6.62619717,0.121916842538223
34,-4.0149579,2.1625874,6.1775453,0.206704885813131
27,-5.8733187,0.11262755,5.98594625,0.0611611854156665
61,-1.9595376,3.9306368,5.8901744,0.123911532983605
7,-2.5446932,3.3359626,5.8806558,0.413288535730939
58,-5.3408739,0.19738067,5.53825457,0.311903690181393
54,-4.059669,1.4564618,5.5161308,0.141208500127608
62,-4.566939,0.86967416,5.43661316,0.200605516083747
48,-3.2401684,2.1645424,5.4047108,0.262985175373254
65,-3.086056,2.3003119,5.3863679,0.127419238366062
28,-0.37786593,4.6614838,5.03934973,0.117304315196994
15,-3.9959271,1.0404409,5.036368,0.395990562907045
9,-4.8655354,0.029790099,4.895325499,0.126875740283825
10,-4.1594434,0.39860733,4.55805073,0.0994916476139349
6,-4.0421848,0.44142624,4.48361104,0.0768125855363401
22,-2.3528057,1.9931261,4.3459318,0.167777543715942
14,-4.3095652,0.029701258,4.339266458,0.0512576059965491
33,-4.2668973,0.0036716156,4.2705689156,0.0868327742657456
43,-4.0675584,0.086253168,4.153811568,0.12035793248577
32,-3.3371175,0.72960762,4.06672512,0.10450969120603
8,-3.7434273,0.27613037,4.01955767,0.0777453770759444
46,-1.0249291,2.9503169,3.975246,0.247097003150606
64,-3.9012664,0,3.9012664,0.221837061213759
53,-1.5314425,2.3529407,3.8843832,0.200874562590059
21,-3.6993849,0.0019767774,3.7013616774,0.0992923616904184
66,-3.495633,0.10957336,3.60520636,0.16196381106972
52,-3.3900661,0.085145453,3.475211553,0.155047784400192
18,-3.4225567,0.041499585,3.464056285,0.132781994739992
23,-3.2473228,0.21645613,3.46377893,0.0892183593640177
49,-0.89381663,2.5502929,3.44410953,0.141491385297846
51,-2.331097,0.94917349,3.28027049,0.155177640892622
20,-2.7493861,0.45108577,3.20047187,0.135285818757537
63,-2.6152059,0.52515324,3.14035914,0.133204768370483
45,-3.0012989,0.12385387,3.12515277,0.211606648865497
57,-0.062619626,2.8417528,2.904372426,0.245783017213842
47,-2.0850505,0.77231187,2.85736237,0.119914929249231
42,-1.0779149,1.2345475,2.3124624,0.100479394970361
41,-2.2312279,0.020055218,2.251283118,0.119726623741175
5,-1.1887306,1.004096,2.1928266,0.125393693040389
31,-2.0588363,0.024709938,2.083546238,0.0793006573118898
35,-1.9213623,0.10173221,2.02309451,0.154103198896516
55,-1.5346608,0.10150343,1.63616423,0.126999823404236
